Stock_Take_Transaction_ID,ST_Year,Material_Item_ID,Stock_Take_Comment,Material_Length_Measured_m,Length_Measured_Indicator,Material_Width_Measured_m,Width_Measured_Indicator,Material_Full_Units_Counted,Full_Units_Counted_Indicator,Material_Quantity_Scrapped,Material_Scrapped_Indicator,Material_Unit_Price_incl_VAT,Unit_Price_Available_Indicator,VAT_Decimal,VAT_Percentage,Material_Source_Quantity_on_Hand_Value_excl_VAT,Stock_Take_Date_Key,Material_Item_Key,Material_Item_Standard_Length_mm,Material_Item_Standard_Width_or_Diameter_mm,Material_Item_Quantity_Unit_of_Measure,Stock_Take_Indicators_Key,Import_Action,Effective_Date,IBPT_ID,Material_Unit_Price_excl_VAT,Material_Quantity_Counted,Material_Quantity_on_Hand,Material_Value_Scrapped_excl_VAT,Material_Value_on_Hand_excl_VAT,ErrorCode,ErrorColumn,ErrorDescription
ST20211,2021,ALM00001,*None,25.190,Length measured,,No width measured,,No full units counted,,No material scrapped,5.51,Unit price available,.14,14%,121.7516667,20210101,1,-1.00,12.70,m,1,Insert,2021/12/01,9,4.833333333333333,25.190000000000000,25.190000000000001,0,121.75166666666667,-1071607683,0,The data value violates integrity constraints.

ST202110,2021,MST00002,*None,.530,Length measured,,No width measured,,No full units counted,,No material scrapped,16.52,Unit price available,.14,14%,7.6803508770000004,20210101,321,-1.00,25.00,m,1,Insert,2021/12/01,9,14.491228070175438,.530000000000000,0.53000000000000003,0,7.6803508771929829,-1071607683,0,The data value violates integrity constraints.

ST2021100,2021,MST00048,*None,.000,Length measured,,No width measured,,No full units counted,,No material scrapped,4.67,Unit price available,.14,14%,0,20210101,366,-1.00,6.00,m,1,Insert,2021/12/01,9,4.0964912280701755,.000000000000000,0,0,0,-1071607683,0,The data value violates integrity constraints.

ST2021101,2021,MST00049,*None,17.645,Length measured,,No width measured,,No full units counted,,No material scrapped,7.71,Unit price available,.14,14%,119.33592109999999,20210101,367,-1.00,8.00,m,1,Insert,2021/12/01,9,6.7631578947368425,17.645000000000000,17.645,0,119.33592105263158,-1071607683,0,The data value violates integrity constraints.

ST2021102,2021,MST00050,*None,18.335,Length measured,,No width measured,,No full units counted,,No material scrapped,11.68,Unit price available,.14,14%,187.8533333,20210101,368,-1.00,10.00,m,1,Insert,2021/12/01,9,10.245614035087719,18.335000000000000,18.335000000000001,0,187.85333333333335,-1071607683,0,The data value violates integrity constraints.

