M_Year,M_Material_Item_ID,M_Material_Type,M_Material_Item_Category,M_Material_Item_Detail_1,M_Material_Item_Detail_2,M_Material_Item_Size,M_Material_Item_Size_Unit_Of_Measure,M_Material_Item_Size_Note,M_Material_Item_Standard_Length_mm,M_Material_Item_Standard_Width_or_Diameter_mm,M_Material_Item_Standard_Height_mm,M_Material_Item_Standard_Interior_Diameter_mm,M_Material_Item_Standard_Thinkness_or_Wall_mm,M_Material_Item_Quantity_Unit_of_Measure,M_Material_Group,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
2021,ALM00020,Aluminium,Bar,Round,*None,8,mm,*None,-1.00,8.00,-1.00,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00073,Stainless steel,Tubing,Hydraulic,*None,21.5 x 2.5,mm,*None,-1.00,21.50,-1.00,-1.00,2.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00006,Mild steel,Angle iron,*None,*None,40 x 40 x 3,mm,*None,-1.00,40.00,40.00,-1.00,3.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00021,Glass,Cone,*None,*None,29,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00081,Brass,Tubing,Square,*None,31.6 x 31.6 x 1.2,mm,*None,-1.00,31.60,31.60,-1.00,1.20,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,CPR00008,Copper,Tubing,*None,*None,28.7 x 1.2,mm,*None,-1.00,28.70,-1.00,27.50,1.20,m,Copper,5,-1071607683,0,The data value violates integrity constraints.

2021,VNT00001,Vesconite,Rod,*None,*None,12,mm,*None,-1.00,12.00,-1.00,-1.00,-1.00,m,Ertalon/Vescolene,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00031,Mild steel,Bar,Flat,*None,50 x 10,mm,*None,-1.00,50.00,-1.00,-1.00,10.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

