Year,Item ID,Material,Item Category,Item Detail 1,Item Detail 2,Item Size,Size Unit of Measure,Size Note,Comment,Standard Length (mm),Standard Width or Diameter (mm),Standard Height (mm),Standard Interior Diameter (mm),Standard Thinkness / Wall (mm),Item Length Measured (m),Item Width Measured (m),Full Units Counted,Quantity Unit of Measure,Quantity Scapped,Unit price incl VAT,VAT,Source Quantity on hand value excl VAT rounded
2020,ALM00001,Aluminium,Angle iron,,,12.7 x 12.7 x 1.54,mm,,,,12.7,12.7,,1.54,27.545,,,m,,5.51,0.14,133.1341667
2020,ALM00002,Aluminium,Angle iron,,,14.8 x 14.8 x 1.8,mm,,,,14.8,14.8,,1.8,1.28,,,m,,12.9,0.14,14.48421053
2020,ALM00003,Aluminium,Angle iron,,,19.3 x 19.3 x 3.4,mm,,,,19.3,19.3,,3.4,22.205,,,m,,13.68,0.14,266.46
2020,ALM00004,Aluminium,Angle iron,,,25 x 25 x 2.2,mm,,,,25,25,,2.2,3.71,,,m,,18.34,0.14,59.6854386
2020,ALM00005,Aluminium,Angle iron,,,25.5 x 25.5 x 3.6,mm,,,,25.5,25.5,,3.6,36,,,m,,18.34,0.14,579.1578947
2020,ALM00006,Aluminium,Angle iron,,,38 x 38 x 6,mm,,,,38,38,,6,6,,,m,,26.98,0.14,142
2020,ALM00007,Aluminium,Angle iron,,,50.7 x 50.7 x 6.35,mm,,,,50.7,50.7,,6.35,0.52,,,m,,76.57,0.14,34.92666667
2020,ALM00008,Aluminium,Angle iron,,,50.8 x 50.8 x 4.6,mm,,,,50.8,50.8,,4.6,3.645,,,m,,76.57,0.14,244.8225
2020,MST00001,Mild steel,Angle iron,,,20 x 20 x 2,mm,,,,20,20,,2,34.955,,,m,,6.67,0.14,204.5174123
2020,MST00002,Mild steel,Angle iron,,,25 x 25 x 3,mm,,,,25,25,,3,0,,,m,,16.52,0.14,0
2020,MST00003,Mild steel,Angle iron,,,25 x 25 x 5,mm,,,,25,25,,5,24.06,,,m,,25.97,0.14,548.1036842
2020,MST00004,Mild steel,Angle iron,,,30 x 30 x 3,mm,,,,30,30,,3,19.3,,,m,,20.22,0.14,342.3210526
2020,MST00005,Mild steel,Angle iron,,,30 x 30 x 5,mm,,,,30,30,,5,9.8,,,m,,31.92,0.14,274.4
2020,MST00006,Mild steel,Angle iron,,,40 x 40 x 3,mm,,,,40,40,,3,0,,,m,,23.94,0.14,0
2020,MST00007,Mild steel,Angle iron,,,40 x 40 x 5,mm,,,,40,40,,5,0.96,,,m,,43.55,0.14,36.67368421
2020,MST00008,Mild steel,Angle iron,,,40 x 40 x 6,mm,,,,40,40,,6,6,,,m,,51.18,0.14,269.3684211
2020,MST00009,Mild steel,Angle iron,,,50 x 50 x 5,mm,,,,50,50,,5,12,,,m,,54.87,0.14,577.5789474
2020,MST00010,Mild steel,Angle iron,,,50 x 50 x 6,mm,,,,50,50,,6,6,,,m,,65.05,0.14,342.3684211
2020,MST00011,Mild steel,Angle iron,,,50 x 50 x 8,mm,,,,50,50,,8,6,,,m,,85.22,0.14,448.5263158
2020,MST00012,Mild steel,Angle iron,,,60 x 60 x 6,mm,,,,60,60,,6,15.65,,,m,,78.93,0.14,1083.556579
2020,MST00013,Mild steel,Angle iron,,,60 x 60 x 8,mm,,,,60,60,,8,6,,,m,,103.8,0.14,546.3157895
2020,SST00001,Stainless steel,Angle iron,,,25.2 x 25.2 x 3.1,mm,,,,25.2,25.2,,3.1,11.93,,,m,,62.7,0.14,656.15
2020,SST00002,Stainless steel,Angle iron,,,30 x 30 x 3,mm,,,,30,30,,3,0,,,m,,64.98,0.14,0
