Department_ID,Department_Name,Customer_Group_ID
C00001-1,Department of Physics,C00001
C00001-11,Skool vir Chemie,C00001
C00001-12,Skool vir Chemie Mafikengkampus,C00001
C00001-13,Wetenskapsentrum,C00001
C00001-14,Skool vir Chemie (CRB),C00001
C00001-15,School of Physical and Chemical Science,C00001
C00001-16,Unit for Environmental Sciences and Management,C00001
C00001-17,Mikrobiologie - Mafikengkampus,C00001
C00001-18,School of Agricultural Sciences - Animal Sciences - MC,C00001
C00001-2,Centre for Space Research,C00001
C00001-3,Geologie,C00001
C00001-5,Skool vir Omgewingswetenskappe,C00001
C00001-6,School of Biological Sciences,C00001
C00001-8,Sentrum vir Bedryfswiskunde,C00001
C00001-9,Sentrum vir Waterwetenskappe,C00001
C00002-13,PCDDP,C00002
C00002-15,Sentrum vir Menslike Metabolomika,C00002
C00002-28,Skool vir Biochemie,C00002
C00002-17,Skool vir Farmasie,C00002
C00002-18,Skool vir Fisiologie,C00002
C00002-19,Skool vir Verbruikerswetenskappe,C00002
C00002-20,Skool vir Verpleegkunde,C00002
C00002-21,Skool vir Voeding,C00002
C00002-22,Vivarium,C00002
C00002-3,Eenheid vir Geneesmiddelnavorsing,C00002
C00002-4,Farmakologie,C00002
C00002-5,Farmaseutiese Chemie,C00002
C00002-6,Farmaseutika,C00002
C00002-7,Gesondheidsorgsentrum,C00002
C00002-8,Industriële Farmasie,C00002
C00002-24,Africa Unit for Transdisciplinary Health Research,C00002
C00002-25,Centre for Health Profession Education,C00002
C00002-26,Instituut vir Sportwetenskappe en Ontwikkeling,C00002
C00002-27,PCDDP - Pharmacen,C00002
C00003-2,Faculty of Engineering (HYSA),C00003
C00003-3,Skool vir Chemiese en Mineraal,C00003
C00003-4,Skool vir Elektries en Elektronies,C00003
C00003-6,Skool vir Meganies en Materiaal,C00003
C00003-7,Eenheid vir Energie en Tegnologie,C00003
C00004-0,Inwoning en Voedseldienste,C00004
C00004-1,Voorhuis,C00004
C00004-2,Drakenstein Restaurant,C00004
C00005-1,Elektroniese Dienste,C00005
C00006-1,Beskermingsdienste,C00006
C00007-1,Inligtingstegnologie,C00007
C00008-2,FP Biblioteek,C00008
C00009-1,Fakulteit Ekonomiese & Bestuurswetenskappe,C00009
C00009-2,Skool vir Rekeningkunde Wetenskappe,C00009
C00009-3,School of Business & Governance,C00009
C00009-4,Skool vir Toerismebestuur,C00009
C00011-1,NWU Kunste,C00011
C00012-1,NWU Sport,C00012
C00012-2,NWU Sport Hockey,C00012
C00016-1,Rugby Instituut,C00016
C00017-1,Studenteraad,C00017
C00020-1,Sportsvillage,C00020
C00022-1,PASV,C00022
C00024-2,Creativity Centre,C00024
C00025-1,Direkteur : Navorsingsondersteuning,C00025
C00026-1,Higher Degrees and Ceremonies,C00026
C00027-1,Campus Operations,C00027
C00028-1,Kunsteraad,C00028
C00029-1,Eenheid vir Oop Afstandsleer,C00029
C00030-1,Global Engagement,C00030
C00030-2,Studentemedia,C00030
