Project_ID,Request_Date,Customer_ID,Project_Category,Project_Description,Status,Labour_Costs,Material_Costs,Handling_Fee,Service_Billing_Number
P180203,2020/06/13,C00017-1-1,Engraving,Gravering : Ererolborde,,3828,597,0,
P180226,2020/07/19,C00001-2-2,Equipment,Herstel en veranderinge (restoureer) van 3 x lywe vir klein diameter buise,,20020,692,173,6019411
P180227,2020/07/19,C00001-2-2,Equipment,Vervaardiging van nuwe lywe,,142160,83120,20780,6019411
P180229,2020/07/20,C00002-4-5,,Vervaardig 1 x Radioligandbad met 30 proef-openinge,,,,,
P180392,2020/11/21,C00001-11-24,Equipment,Voorsien 6 x klampe (soos voorbeeld),,75,468,117,5626910
P180403,2020/10/12,C00001-11-7,Repairs,Herstel van kompressor,,750,0,0,5628339
P180404,2020/10/12,C00001-11-7,Repairs,Herstel van reënmeter,,900,985.6,246.4,5628339
P180369,2020/10/31,C00002-22-3,Repairs,Diens van Lab Vacuum System,,8837.5,3736.8,934.2,5682105
P180384,2021/11/28,C00002-2-1,Repairs,Service : Nitrogen Generator,Recovered in 2018,,,,5417124
P180254,2020/08/02,C00002-5-6,Equipment,Vervaardig 1 x Radioligandbad met 30 proef-openinge,,,,,5166124
P180306,2020/09/11,C00001-3-1,Equipment,Vervaardig 5 x Grond Erosie Apparate (Soil Erosion Display),,17063,5913.6,1478.4,5274527
P180349,2020/10/15,C00001-2-4,,Manufacture : Light Box / Light Diffuser,,,,,5349943
P180380,2020/11/05,C00001-11-8,,Diens/herste van 27 x Balanse,,,,,
P190001,2020/06/06,C00002-3-2,,Diens/herstel van 14 x balanse,,0,0,0,
P190002,2020/07/02,C00002-5-5,,Herinstalleer van ysmasjien en watersuiweraar,Cancelled,0,0,0,
P190003,2020/10/09,C00009-1-1,Repairs,Maak van UARM-trofee,,190,200,50,5853773
P190004,2020/10/15,C00001-2-3,,"Supply and manufacture : Telescope Dome/Magnetometer Shack, etc.",Cancelled,0,0,0,
P190005,2020/10/10,C00001-11-5,Equipment,Vervaardig 1 x Teflonprop + 1 x glasbuis Por4,,1225,172,43,5622303
P190006,2020/10/30,C00001-11-5,Equipment,Vervaardig 1 x Reaktor,,19095,1844,461,6008364
P190007,2020/10/31,C00001-1-1,,Manufacture : Beam Splitter,,76000,13164,6582,
P190008,2020/11/05,C00001-11-23,Equipment,Herstel temperatuurbeheer van waterbad,,525,1320,330,5773954
P190009,2020/11/07,C00026-1-1,Repairs,Repair : Travelling Rails / 1 x Trolley + rail,,900,76,19,5685154
P190010,2020/11/08,C00002-15-2,Equipment,Vervaardig/installeer vlekvryestaal rakkies vir 2 x nuwe yskaste,,20890,14232,3558,5408654
P190011,2020/11/13,C00002-5-7,Repairs,Diens/herstel van roerder + powder coat van plaat,,2295,150,0,5416580
P190012,2020/11/21,C00009-2-2,Engraving,Gravering : 1 x naam vir ererolbord : 2017 Mariska Olivier,,150,20,0,5710991
P190013,2020/11/22,C00001-11-23,Repairs,Herstel van 2 x ysmasjiene,,5250,400,100,5773954
P190014,2020/11/26,C00001-5-4,,Vervaardig 1 x Lugvloeimeter,Cancelled,0,0,0,
P190015,2020/11/26,C00001-11-7,Repairs,Repair : Partisol Vacuum pump,,2470,10477.5,0,5830617
P190016,2020/11/27,C00002-2-1,,Vervaardig 1 x Filterbuis,Cancelled,0,0,0,
P190017,2020/11/28,C00002-5-3,Equipment,Yskas : Aanbring van 2 x slotte,,200,180,45,5681713
P190018,2020/11/29,C00001-5-2,Equipment,Changes on Suspension Chamber,,1750,176,44,5572711
P190019,2020/12/03,C00009-2-1,Engraving,2 x Name vir Ererolbord,,300,40,0,5710974
P190020,2020/12/04,C00001-11-7,,Mounting of Winch - Welgegund + Filters,,,,,
P190021,2021/01/14,C00001-11-1,Repairs,Herstel klep van vakuumbeheerde apparaat,,1225,20,5,5613923
P190022,2021/01/15,C00001-5-21,Repairs,Herstel van slangtang,,300,0,0,5523749
P190023,2021/01/15,C00020-1-2,Equipment,Herstel van 1 x trollie,,1710,488,122,5859120
P190024,2021/01/17,C00002-5-9,Equipment,Vervaardig handvatsels vir radioligandbadden,,538,9.6,2.4,5562849
P190025,2021/01/17,C00002-4-4,Equipment,Vervaardig handvatsels vir radioligandbadden,,538,9.6,2.4,5562849
P190026,2021/01/10,C00016-1-1,,Vervaardig 1 x Yskasknip (Kelvinator Yskas),Cancelled,,,,
P190027,2021/01/17,C00001-13-1,Repairs,Herstel van wetenskapapparaat,,2712.5,3.2,0.8,5921760
P190028,2021/01/18,C00002-15-1,Repairs,Skoonmaak en behandeling van VVS komponente,,1575,0,0,5768606
P190029,2021/01/18,C00002-8-2,Equipment,Aankoop van 3 x opvangbakke (drip trays),,300,2436,609,5515964
P190030,2021/01/18,C00004-1-1,Equipment,Vervaardig 1 x pynappelskiller,,550,0,0,5770510
P190031,2021/01/21,C00001-11-13,Equipment,Diens van Edwards vakuumpomp,,612.5,0,0,5613864
P190032,2021/01/21,C00002-13-12,Equipment,Aankoop van 2 x 46 Viton O-ringe,,150,136,34,5569480
P190033,2021/01/22,C00003-3-17,Glass blowing,Vervaardiging van glasapparate,,1676,3451.12,862.8,5524714
