Date_Key,Date,Date_Description,Month_Of_Year,Month,Year,Year_Month
19000101,1900/01/01,*Unknown date,1,January,1900,1900-01
20200101,2020/01/01,01 January 2020,1,January,2020,2020-01
20200102,2020/01/02,02 January 2020,1,January,2020,2020-01
20200103,2020/01/03,03 January 2020,1,January,2020,2020-01
20200104,2020/01/04,04 January 2020,1,January,2020,2020-01
20200105,2020/01/05,05 January 2020,1,January,2020,2020-01
20200106,2020/01/06,06 January 2020,1,January,2020,2020-01
20200107,2020/01/07,07 January 2020,1,January,2020,2020-01
20200108,2020/01/08,08 January 2020,1,January,2020,2020-01
20200109,2020/01/09,09 January 2020,1,January,2020,2020-01
20200110,2020/01/10,10 January 2020,1,January,2020,2020-01
20200111,2020/01/11,11 January 2020,1,January,2020,2020-01
20200112,2020/01/12,12 January 2020,1,January,2020,2020-01
20200113,2020/01/13,13 January 2020,1,January,2020,2020-01
20200114,2020/01/14,14 January 2020,1,January,2020,2020-01
20200115,2020/01/15,15 January 2020,1,January,2020,2020-01
20200116,2020/01/16,16 January 2020,1,January,2020,2020-01
20200117,2020/01/17,17 January 2020,1,January,2020,2020-01
20200118,2020/01/18,18 January 2020,1,January,2020,2020-01
20200119,2020/01/19,19 January 2020,1,January,2020,2020-01
20200120,2020/01/20,20 January 2020,1,January,2020,2020-01
20200121,2020/01/21,21 January 2020,1,January,2020,2020-01
20200122,2020/01/22,22 January 2020,1,January,2020,2020-01
20200123,2020/01/23,23 January 2020,1,January,2020,2020-01
20200124,2020/01/24,24 January 2020,1,January,2020,2020-01
20200125,2020/01/25,25 January 2020,1,January,2020,2020-01
20200126,2020/01/26,26 January 2020,1,January,2020,2020-01
20200127,2020/01/27,27 January 2020,1,January,2020,2020-01
20200128,2020/01/28,28 January 2020,1,January,2020,2020-01
20200129,2020/01/29,29 January 2020,1,January,2020,2020-01
20200130,2020/01/30,30 January 2020,1,January,2020,2020-01
20200131,2020/01/31,31 January 2020,1,January,2020,2020-01
20200201,2020/02/01,01 February 2020,2,February,2020,2020-02
20200202,2020/02/02,02 February 2020,2,February,2020,2020-02
20200203,2020/02/03,03 February 2020,2,February,2020,2020-02
20200204,2020/02/04,04 February 2020,2,February,2020,2020-02
20200205,2020/02/05,05 February 2020,2,February,2020,2020-02
20200206,2020/02/06,06 February 2020,2,February,2020,2020-02
20200207,2020/02/07,07 February 2020,2,February,2020,2020-02
20200208,2020/02/08,08 February 2020,2,February,2020,2020-02
20200209,2020/02/09,09 February 2020,2,February,2020,2020-02
20200210,2020/02/10,10 February 2020,2,February,2020,2020-02
20200211,2020/02/11,11 February 2020,2,February,2020,2020-02
20200212,2020/02/12,12 February 2020,2,February,2020,2020-02
20200213,2020/02/13,13 February 2020,2,February,2020,2020-02
20200214,2020/02/14,14 February 2020,2,February,2020,2020-02
20200215,2020/02/15,15 February 2020,2,February,2020,2020-02
20200216,2020/02/16,16 February 2020,2,February,2020,2020-02
20200217,2020/02/17,17 February 2020,2,February,2020,2020-02
20200218,2020/02/18,18 February 2020,2,February,2020,2020-02
20200219,2020/02/19,19 February 2020,2,February,2020,2020-02
20200220,2020/02/20,20 February 2020,2,February,2020,2020-02
20200221,2020/02/21,21 February 2020,2,February,2020,2020-02
20200222,2020/02/22,22 February 2020,2,February,2020,2020-02
20200223,2020/02/23,23 February 2020,2,February,2020,2020-02
20200224,2020/02/24,24 February 2020,2,February,2020,2020-02
20200225,2020/02/25,25 February 2020,2,February,2020,2020-02
20200226,2020/02/26,26 February 2020,2,February,2020,2020-02
20200227,2020/02/27,27 February 2020,2,February,2020,2020-02
20200228,2020/02/28,28 February 2020,2,February,2020,2020-02
20200229,2020/02/29,29 February 2020,2,February,2020,2020-02
20200301,2020/03/01,01 March 2020,3,March,2020,2020-03
20200302,2020/03/02,02 March 2020,3,March,2020,2020-03
20200303,2020/03/03,03 March 2020,3,March,2020,2020-03
20200304,2020/03/04,04 March 2020,3,March,2020,2020-03
20200305,2020/03/05,05 March 2020,3,March,2020,2020-03
20200306,2020/03/06,06 March 2020,3,March,2020,2020-03
20200307,2020/03/07,07 March 2020,3,March,2020,2020-03
20200308,2020/03/08,08 March 2020,3,March,2020,2020-03
20200309,2020/03/09,09 March 2020,3,March,2020,2020-03
20200310,2020/03/10,10 March 2020,3,March,2020,2020-03
20200311,2020/03/11,11 March 2020,3,March,2020,2020-03
20200312,2020/03/12,12 March 2020,3,March,2020,2020-03
20200313,2020/03/13,13 March 2020,3,March,2020,2020-03
20200314,2020/03/14,14 March 2020,3,March,2020,2020-03
20200315,2020/03/15,15 March 2020,3,March,2020,2020-03
20200316,2020/03/16,16 March 2020,3,March,2020,2020-03
20200317,2020/03/17,17 March 2020,3,March,2020,2020-03
20200318,2020/03/18,18 March 2020,3,March,2020,2020-03
20200319,2020/03/19,19 March 2020,3,March,2020,2020-03
20200320,2020/03/20,20 March 2020,3,March,2020,2020-03
20200321,2020/03/21,21 March 2020,3,March,2020,2020-03
20200322,2020/03/22,22 March 2020,3,March,2020,2020-03
20200323,2020/03/23,23 March 2020,3,March,2020,2020-03
20200324,2020/03/24,24 March 2020,3,March,2020,2020-03
20200325,2020/03/25,25 March 2020,3,March,2020,2020-03
20200326,2020/03/26,26 March 2020,3,March,2020,2020-03
20200327,2020/03/27,27 March 2020,3,March,2020,2020-03
20200328,2020/03/28,28 March 2020,3,March,2020,2020-03
20200329,2020/03/29,29 March 2020,3,March,2020,2020-03
20200330,2020/03/30,30 March 2020,3,March,2020,2020-03
20200331,2020/03/31,31 March 2020,3,March,2020,2020-03
20200401,2020/04/01,01 April 2020,4,April,2020,2020-04
20200402,2020/04/02,02 April 2020,4,April,2020,2020-04
20200403,2020/04/03,03 April 2020,4,April,2020,2020-04
20200404,2020/04/04,04 April 2020,4,April,2020,2020-04
20200405,2020/04/05,05 April 2020,4,April,2020,2020-04
20200406,2020/04/06,06 April 2020,4,April,2020,2020-04
20200407,2020/04/07,07 April 2020,4,April,2020,2020-04
20200408,2020/04/08,08 April 2020,4,April,2020,2020-04
20200409,2020/04/09,09 April 2020,4,April,2020,2020-04
20200410,2020/04/10,10 April 2020,4,April,2020,2020-04
20200411,2020/04/11,11 April 2020,4,April,2020,2020-04
20200412,2020/04/12,12 April 2020,4,April,2020,2020-04
20200413,2020/04/13,13 April 2020,4,April,2020,2020-04
20200414,2020/04/14,14 April 2020,4,April,2020,2020-04
20200415,2020/04/15,15 April 2020,4,April,2020,2020-04
20200416,2020/04/16,16 April 2020,4,April,2020,2020-04
20200417,2020/04/17,17 April 2020,4,April,2020,2020-04
20200418,2020/04/18,18 April 2020,4,April,2020,2020-04
20200419,2020/04/19,19 April 2020,4,April,2020,2020-04
20200420,2020/04/20,20 April 2020,4,April,2020,2020-04
20200421,2020/04/21,21 April 2020,4,April,2020,2020-04
20200422,2020/04/22,22 April 2020,4,April,2020,2020-04
20200423,2020/04/23,23 April 2020,4,April,2020,2020-04
20200424,2020/04/24,24 April 2020,4,April,2020,2020-04
20200425,2020/04/25,25 April 2020,4,April,2020,2020-04
20200426,2020/04/26,26 April 2020,4,April,2020,2020-04
20200427,2020/04/27,27 April 2020,4,April,2020,2020-04
20200428,2020/04/28,28 April 2020,4,April,2020,2020-04
20200429,2020/04/29,29 April 2020,4,April,2020,2020-04
20200430,2020/04/30,30 April 2020,4,April,2020,2020-04
20200501,2020/05/01,01 May 2020,5,May,2020,2020-05
20200502,2020/05/02,02 May 2020,5,May,2020,2020-05
20200503,2020/05/03,03 May 2020,5,May,2020,2020-05
20200504,2020/05/04,04 May 2020,5,May,2020,2020-05
20200505,2020/05/05,05 May 2020,5,May,2020,2020-05
20200506,2020/05/06,06 May 2020,5,May,2020,2020-05
20200507,2020/05/07,07 May 2020,5,May,2020,2020-05
20200508,2020/05/08,08 May 2020,5,May,2020,2020-05
20200509,2020/05/09,09 May 2020,5,May,2020,2020-05
20200510,2020/05/10,10 May 2020,5,May,2020,2020-05
20200511,2020/05/11,11 May 2020,5,May,2020,2020-05
20200512,2020/05/12,12 May 2020,5,May,2020,2020-05
20200513,2020/05/13,13 May 2020,5,May,2020,2020-05
20200514,2020/05/14,14 May 2020,5,May,2020,2020-05
20200515,2020/05/15,15 May 2020,5,May,2020,2020-05
20200516,2020/05/16,16 May 2020,5,May,2020,2020-05
20200517,2020/05/17,17 May 2020,5,May,2020,2020-05
